sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224368	am	3.13193350556	88	5017	2589168	43.360537043	58.9212103533
SRR9224367	am	2.39782227403	78	19851	8481007	199.148069054	287.967356146
SRR9224366	am	2.40589049102	94	25761	10815760	242.38700512	381.653651472
SRR9224365	am	2.3181615507	82	16230	7052253	149.91461403	238.845359876
SRR9224364	am	2.32335838687	86	13118	5911123	124.316231175	187.412276701
SRR9224363	am	2.34407452005	87	16906	7389994	162.452582715	246.604728239
SRR9224173	am	2.53708890335	92	22867	10020460	215.454563176	347.431473355
SRR9224361	am	2.68212943206	82	16487	7400058	163.401645821	238.786965702
SRR9224171	am	2.36042719843	93	27654	12231836	247.027548169	408.805067281
SRR9224271	am	2.33063187131	77	19267	8843804	192.833225344	281.028283392
SRR9224270	am	1.92966657791	86	20046	8587667	200.301744198	273.178796726
SRR9224272	am	2.1775247805	83	20343	8429032	201.376626484	297.990895407
SRR9224539	am	2.50635940505	90	13858	6520287	128.962654625	196.196976157
SRR9224531	am	2.47704916413	75	7952	3477248	76.5460589058	106.161537629
SRR9224099	am	2.47825092177	89	22174	9399217	221.118905264	314.679465569
SRR9224098	am	2.39186479925	83	19958	8271052	195.902625468	293.807636643
SRR9224097	am	2.70762190955	100	18364	7697633	175.012100495	262.370425089
SRR9224063	am	2.34089684042	80	18736	8500001	183.55574714	279.422183245
SRR9224499	am	2.49179904147	94	31496	12999347	313.45288725	448.604968533
SRR9224498	am	2.46659376418	82	27270	11052707	271.825240812	389.188049791
SRR9224495	am	2.41415560005	88	21907	9791785	222.321320291	328.317556222
SRR9224494	am	2.50264199887	89	19534	8512898	193.406416477	266.672227691
SRR9224497	am	2.86061750483	94	21865	9054879	220.645685319	308.980018823
SRR9224496	am	2.47872572848	79	18140	7972802	185.117456668	267.216326136
SRR9224491	am	2.24538145657	75	12176	5507764	110.802232124	176.867211989
SRR9224440	am	2.13744962432	82	19701	8633415	199.862278319	281.918356246
SRR9224493	am	2.13335555932	73	18228	7750090	183.359103093	259.750320498
SRR9224441	am	2.35004972323	96	28813	11267134	287.270255638	405.627628566
