sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
700108896	160218816	2.57948739809	63	13590	9529204	144.326862624	132.392223073
700105882	668248235	3.02212049079	156	77740	48174912	803.204744147	788.585045552
700106946	147406386	3.00294764205	212	11663	7975718	118.253659674	91.038754668
700105517	765155402	2.94677448643	170	32641	24883332	330.176347241	334.851308687
700105372	764487809	2.75280530524	152	137436	110225992	1328.84068252	1335.02371526
700103479	132902142	2.729481953	226	57009	42498720	579.925466353	531.111788239
700102356	159490532	2.51499853884	117	148824	114103932	1387.62191294	1372.39432137
700107930	160056975	2.40273525361	82	62403	46010908	641.828668269	646.823784438
700109506	160845950	1.42612305149	57	16181	10434040	165.261759724	146.528140786
700106170	706846339	3.1423777175	165	114703	87322984	1118.27761893	1094.8464635
700110222	161473083	2.51548296873	83	13540	9491950	147.324608498	127.795211352
700038761	508703490	2.68320857846	134	133894	110822588	1302.77991233	1234.80181183
700109987	161412393	3.54431902441	146	34936	69370870	345.131842128	318.571689027
700106229	675950834	2.85663533236	227	259660	158060090	2522.88115477	2638.96643052
700107873	160380657	1.79595427089	131	109106	79913854	1083.18115666	1126.02441828
700103652	765094712	2.50111642401	174	217156	174762164	2179.38040669	2364.13658043
700108530	160582958	2.67016826208	137	135327	90584582	1398.79312946	1328.00707993
700107489	159632143	2.72869396367	67	15605	10815954	161.40708084	140.944390055
700109449	161554003	2.86871281495	177	89415	92060244	904.319334535	1002.70745777
700106465	338793263	1.75956858715	110	98895	86033406	956.365509267	1106.07161014
700106754	857980665	2.99464938647	132	63455	43964078	665.102625287	657.40310328
700106065	737052003	2.21172764059	181	132790	92063224	1254.98638115	1250.315213
700038956	370027359	2.82987771638	147	65108	62024374	662.118644631	679.698768324
700107566	160097436	1.52521236962	147	153650	109666084	1536.51555655	1480.35591077
700106333	289996019	1.25398173732	165	103972	62927732	1051.66677047	1034.29183817
