sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig
700024866	764649650	2.85700838182	87	26508	20000000
700024930	764669880	2.18069262861	74	29446	20000000
700024998	765074482	3.29860329243	103	14436	20000000
700032068	159672603	2.63772396104	62	14797	12833946
700032133	159429842	2.08633217041	114	31603	20000000
700032222	159753524	1.39211403525	107	29756	20000000
700032413	160036745	2.59402120207	76	12806	10374182
700032944	160421117	1.8743862375	71	35601	20000000
700033201	159308461	2.4029834203	63	14945	12903434
700033363	159450072	2.30434878455	75	15566	10203626
700033435	159611913	2.85239727751	85	31427	20000000
700033502	159490532	2.08754601126	83	35409	20000000
700033665	159551223	2.84052909174	101	35748	20000000
700033797	159814214	1.8694293636	69	26367	20000000
700033922	159510762	2.08211701295	71	29539	20000000
700033989	159632143	1.75940990398	83	33406	20000000
700034081	160481808	2.15588157257	84	19939	10201720
700034166	160319967	2.77809381541	100	27855	20000000
700034254	160502038	3.05994567697	144	31523	20000000
700034622	160461578	2.00350473182	62	15242	11569026
700034794	160582958	2.47311716636	90	28451	20000000
700034838	160542498	2.63426903781	54	20945	11773620
700034926	160603188	2.7588304822	105	24636	20000000
700035157	160441347	2.15642777723	85	32654	20000000
700035237	158357646	2.55363453159	111	15663	20000000
700035373	160056975	1.593034115	46	30079	20000000
700035533	160158126	2.3072816811	71	30976	20000000
700035747	160380657	1.79409209109	103	25743	20000000
700035785	160178356	2.8782504445	101	30423	20000000
700035861	160218816	2.91519195473	117	28453	20000000
700037008	764710340	2.88987603177	148	22489	20000000
700037042	765094712	2.37603537999	95	24035	20000000
700037090	765155402	2.9644266119	120	25799	20000000
700037123	765013792	2.3830409658	132	23969	20000000
700037284	765135172	2.59139096437	80	27281	20000000
700037303	765256553	3.11831373177	161	26515	20000000
700037357	765216093	1.96402249328	92	31063	20000000
700037405	765276783	2.55496453788	117	33338	20000000
700037453	764305738	2.63337546995	76	24751	20000000
700037501	763961826	2.74386007998	105	34676	20000000
